01/01/2010;Nový rok
02/01/2010;Alexandra
03/01/2010;Daniela
04/01/2010;Drahoslav
05/01/2010;Andrea
06/01/2010;Antónia
07/01/2010;Bohuslava
08/01/2010;Severín
09/01/2010;Alexej
10/01/2010;Dáša
11/01/2010;Malvína
12/01/2010;Ernest
13/01/2010;Rastislav
14/01/2010;Radovan
15/01/2010;Dobroslav
16/01/2010;Kristína
17/01/2010;Nataša
18/01/2010;Bohdana
19/01/2010;Drahomíra
20/01/2010;Dalibor
21/01/2010;Vincent
22/01/2010;Zora
23/01/2010;Miloš
24/01/2010;Timotej
25/01/2010;Gejza
26/01/2010;Tamara
27/01/2010;Bohuš
28/01/2010;Alfonz
29/01/2010;Gašpar
30/01/2010;Ema
31/01/2010;Emil
01/02/2010;Tatiana
02/02/2010;Erik
03/02/2010;Blažej
04/02/2010;Veronika
05/02/2010;Agáta
06/02/2010;Dorota
07/02/2010;Vanda
08/02/2010;Zoja
09/02/2010;Zdenko
10/02/2010;Gabriela
11/02/2010;Dezider
12/02/2010;Perla
13/02/2010;Arpád
14/02/2010;Valentín
15/02/2010;Pravoslav
16/02/2010;Ida Liana
17/02/2010;Miloslava
18/02/2010;Jaromír
19/02/2010;Vlasta
20/02/2010;Lívia
21/02/2010;Eleonóra
22/02/2010;Etela
23/02/2010;Roman
24/02/2010;Matej
25/02/2010;Frederik
26/02/2010;Viktor
27/02/2010;Alexander
28/02/2010;Zlatica
29.2;Radomír
01/03/2010;Albín
02/03/2010;Anežka
03/03/2010;Bohumil
04/03/2010;Kazimír
05/03/2010;Fridrich
06/03/2010;Radoslav
07/03/2010;Tomáš
08/03/2010;Alan
09/03/2010;Františka
10/03/2010;Branislav
11/03/2010;Angela
12/03/2010;Gregor
13/03/2010;Vlastimil
14/03/2010;Matilda
15/03/2010;Svetlana
16/03/2010;Boleslav
17/03/2010;Ľubica
18/03/2010;Eduard
19/03/2010;Jozef
20/03/2010;Víťazoslav
21/03/2010;Blahoslav
22/03/2010;Beňadik
23/03/2010;Adrián
24/03/2010;Gabriel
25/03/2010;Marián
26/03/2010;Emanuel
27/03/2010;Alena
28/03/2010;Soňa
29/03/2010;Miroslav
30/03/2010;Vieroslava
31/03/2010;Benjamín
01/04/2010;Hugo
02/04/2010;Zita
03/04/2010;Richard
04/04/2010;Izidor
05/04/2010;Miroslava
06/04/2010;Irena
07/04/2010;Zoltán
08/04/2010;Albert
09/04/2010;Milena
10/04/2010;Igor
11/04/2010;Július
12/04/2010;Estera
13/04/2010;Aleš
14/04/2010;Justína
15/04/2010;Fedor
16/04/2010;Dana
17/04/2010;Rudolf
18/04/2010;Valér
19/04/2010;Jela
20/04/2010;Marcel
21/04/2010;Ervín
22/04/2010;Slavomír
23/04/2010;Vojtech
24/04/2010;Juraj
25/04/2010;Marek
26/04/2010;Jaroslava
27/04/2010;Jaroslav
28/04/2010;Jarmila
29/04/2010;Lea
30/04/2010;Anastázia
01/05/2010;Sviatok práce
02/05/2010;Žigmund
03/05/2010;Galina
04/05/2010;Florián
05/05/2010;Lesana
06/05/2010;Hermína
07/05/2010;Monika
08/05/2010;Ingrida
09/05/2010;Roland
10/05/2010;Viktória
11/05/2010;Blažena
12/05/2010;Pankrác
13/05/2010;Servác
14/05/2010;Bonifác
15/05/2010;Žofia
16/05/2010;Svetozár
17/05/2010;Gizela
18/05/2010;Viola
19/05/2010;Gertrúda
20/05/2010;Bernard
21/05/2010;Zina
22/05/2010;Júlia
23/05/2010;Želmíra
24/05/2010;Ela
25/05/2010;Urban
26/05/2010;Dušan
27/05/2010;Iveta
28/05/2010;Viliam
29/05/2010;Vilma
30/05/2010;Ferdinand
31/05/2010;Petronela
01/06/2010;Žaneta
02/06/2010;Xénia
03/06/2010;Karolína
04/06/2010;Lenka
05/06/2010;Laura
06/06/2010;Norbert
07/06/2010;Róbert
08/06/2010;Medard
09/06/2010;Stanislava
10/06/2010;Margaréta
11/06/2010;Dobroslava
12/06/2010;Zlatko
13/06/2010;Anton
14/06/2010;Vasil
15/06/2010;Vít
16/06/2010;Blanka
17/06/2010;Adolf
18/06/2010;Vratislav
19/06/2010;Alfréd
20/06/2010;Valéria
21/06/2010;Alojz
22/06/2010;Paulína
23/06/2010;Sidónia
24/06/2010;Ján
25/06/2010;Tadeáš
26/06/2010;Adriána
27/06/2010;Ladislav
28/06/2010;Beáta
